Player,G,eFG%,TRB,AST,STL,BLK,TOV,PTS,AGE,YRS,POS
Al Horford,69,0.546,530,232,49,92,65,701,35,14,C
Alex Len,39,0.551,161,45,13,25,43,235,28,7,C
Alperen ?engün,72,0.502,393,185,59,68,145,692,19,-2,C
Andre Drummond,73,0.57,680,131,78,68,115,580,28,7,C
Anthony Davis,40,0.542,394,122,49,90,82,927,28,7,C
Bam Adebayo,56,0.557,564,190,80,44,148,1068,24,3,C
Bismack Biyombo,36,0.593,167,23,12,26,25,210,29,8,C
Blake Griffin,56,0.486,228,105,27,14,31,359,32,11,C
Boban Marjanovi?,23,0.607,39,3,0,3,15,98,33,12,C
Bobby Portis,72,0.555,657,86,53,51,90,1052,26,5,C
Brook Lopez,13,0.538,53,6,8,15,12,161,33,12,C
Bruno Fernando,30,0.664,55,7,1,11,14,88,23,2,C
Charles Bassey,23,0.638,62,7,5,17,8,69,21,0,C
Cheick Diallo,3,0.375,12,0,1,0,1,11,25,4,C
Chimezie Metu,60,0.516,335,60,51,32,61,534,24,3,C
Christian Wood,68,0.576,686,155,54,65,126,1218,26,5,C
Clint Capela,74,0.613,877,92,55,93,44,820,27,6,C
Cody Zeller,27,0.567,125,22,8,6,19,140,29,8,C
Damian Jones,56,0.677,246,69,26,47,59,454,26,5,C
Daniel Gafford,72,0.693,407,68,30,99,65,677,23,2,C
Daniel Oturu,3,0.5,5,0,0,2,0,9,22,1,C
Daniel Theis,47,0.576,228,41,20,31,46,384,29,8,C
Deandre Ayton,58,0.639,593,84,40,40,91,997,23,2,C
DeAndre Jordan,48,0.643,264,21,12,35,37,206,33,12,C
DeMarcus Cousins,48,0.517,270,71,35,21,85,430,31,10,C
Derrick Favors,39,0.522,184,25,17,12,9,206,30,9,C
Dewayne Dedmon,67,0.598,386,47,24,42,70,422,32,11,C
Drew Eubanks,71,0.602,382,85,31,40,81,546,24,3,C
Dwight Howard,60,0.63,356,35,34,36,47,372,36,15,C
Dwight Powell,82,0.687,404,97,37,39,64,717,30,9,C
Ed Davis,31,0.688,64,7,3,9,5,28,32,11,C
Enes Freedom,35,0.536,160,8,5,14,20,128,29,8,C
Frank Kaminsky,9,0.583,41,13,8,7,5,95,28,7,C
Goga Bitadze,50,0.565,177,55,21,42,46,349,22,1,C
Gorgui Dieng,44,0.603,121,34,11,13,20,154,32,11,C
Greg Monroe,14,0.561,64,22,8,10,12,76,31,10,C
Hassan Whiteside,65,0.652,494,26,22,103,53,534,32,11,C
Isaiah Hartenstein,68,0.645,332,160,50,77,84,563,23,2,C
Isaiah Jackson,36,0.575,149,10,25,52,40,297,20,-1,C
Isaiah Stewart,71,0.526,617,82,22,78,85,589,20,-1,C
Ivica Zubac,76,0.626,644,120,36,77,114,785,24,3,C
Jaime Echenique,1,0,0,0,0,0,0,0,24,3,C
Jakob Poeltl,68,0.619,634,189,45,118,109,915,26,5,C
Jarrett Allen,56,0.678,602,92,44,75,94,904,23,2,C
JaVale McGee,74,0.631,496,42,22,81,98,680,34,13,C
Javin DeLaurier,1,0,1,0,1,0,0,0,23,2,C
Jaxson Hayes,70,0.641,315,43,33,55,54,654,21,0,C
Jay Huff,4,0,4,1,1,1,1,0,23,2,C
Jeremiah Robinson-Earl,49,0.503,274,49,29,15,39,366,21,0,C
Jock Landale,54,0.566,138,45,10,14,31,265,26,5,C
Joel Embiid,68,0.534,796,284,77,99,214,2079,27,6,C
Jon Teske,3,0,2,1,1,0,0,0,24,3,C
Jonas Valan?i?nas,74,0.574,843,190,41,60,179,1314,29,8,C
Jordan Bell,1,0,1,0,1,0,0,0,27,6,C
Jusuf Nurki?,56,0.548,619,157,62,34,143,842,27,6,C
Kai Jones,21,0.679,11,4,1,2,6,22,21,0,C
Karl-Anthony Towns,74,0.591,727,269,72,83,226,1818,26,5,C
Kelly Olynyk,40,0.517,177,111,31,19,58,365,30,9,C
Kevin Love,74,0.553,536,160,26,18,98,1007,33,12,C
Kevon Looney,82,0.571,596,165,50,52,67,491,25,4,C
Khem Birch,55,0.485,239,56,30,26,29,247,29,8,C
Killian Tillie,36,0.445,60,22,23,15,13,118,23,2,C
LaMarcus Aldridge,47,0.566,258,42,14,47,44,607,36,15,C
Larry Nance Jr.,46,0.569,248,81,43,20,37,321,29,8,C
Luka Garza,32,0.503,100,20,9,6,18,186,23,2,C
Luke Kornet,15,0.481,29,9,3,3,0,30,26,5,C
Marko Simonovic,9,0.3,10,0,1,1,2,17,22,1,C
Mason Plumlee,73,0.641,565,226,61,52,100,477,31,10,C
Micah Potter,3,0.455,9,0,1,1,1,12,23,2,C
Mike Muscala,43,0.597,129,22,18,26,14,344,30,9,C
Mitchell Robinson,72,0.761,617,38,58,133,60,610,23,2,C
Mo Bamba,71,0.566,572,85,38,118,77,756,23,2,C
Montrezl Harrell,71,0.649,431,145,29,43,72,932,28,7,C
Moritz Wagner,63,0.581,232,87,20,13,56,564,24,3,C
Moses Brown,40,0.593,135,1,7,16,20,171,22,1,C
Myles Turner,42,0.587,297,44,28,118,54,540,25,4,C
Naz Reid,77,0.549,301,71,40,71,82,637,22,1,C
Neemias Queta,15,0.447,31,6,1,8,6,45,22,1,C
Nemanja Bjelica,71,0.547,294,159,41,26,87,433,33,12,C
Nerlens Noel,25,0.533,141,23,30,31,20,85,27,6,C
Nic Claxton,47,0.674,264,43,24,51,38,410,22,1,C
Nick Richards,50,0.667,86,13,9,21,24,150,24,3,C
Nikola Joki?,74,0.62,1019,584,109,63,281,2004,26,5,C
Nikola Vu?evi?,73,0.518,804,236,70,71,136,1288,31,10,C
Norvel Pelle,3,0.6,6,0,0,1,2,6,28,7,C
Olivier Sarr,22,0.639,93,19,6,15,22,153,22,1,C
Omer Yurtseven,56,0.528,294,49,17,20,41,299,23,2,C
Onyeka Okongwu,48,0.69,283,53,31,60,44,392,21,0,C
P.J. Washington,65,0.573,337,147,57,61,82,668,23,2,C
Paul Millsap,33,0.426,114,29,10,13,19,115,36,15,C
Paul Reed,38,0.573,92,16,33,14,10,116,22,1,C
Precious Achiuwa,73,0.486,473,82,37,41,84,664,22,1,C
Richaun Holmes,45,0.663,317,48,17,41,56,468,28,7,C
Robert Williams,61,0.736,588,121,56,134,63,607,24,3,C
Robin Lopez,36,0.558,126,54,2,18,44,254,33,12,C
Rudy Gobert,66,0.713,968,72,45,137,119,1027,29,8,C
Serge Ibaka,54,0.563,250,49,11,33,43,365,32,11,C
Steven Adams,76,0.547,760,256,65,60,115,528,28,7,C
Tacko Fall,11,0.417,23,2,0,6,3,12,26,5,C
Taj Gibson,52,0.563,229,32,22,40,27,229,36,15,C
Thomas Bryant,27,0.561,108,23,6,21,19,201,24,3,C
Tony Bradley,55,0.585,186,27,10,33,34,163,24,3,C
Udoka Azubuike,17,0.755,71,0,1,11,12,80,22,1,C
Udonis Haslem,13,0.468,25,4,1,1,5,32,41,20,C
Vernon Carey Jr.,7,0.538,12,0,2,1,3,20,20,-1,C
Willie Cauley-Stein,20,0.471,40,10,6,3,7,34,28,7,C
Willy Hernangómez,50,0.526,338,63,21,19,51,453,27,6,C
Zach Collins,28,0.535,153,61,13,23,45,218,24,3,C
Aaron Gordon,75,0.573,439,188,44,44,133,1126,26,5,PF
Aleksej Pokusevski,61,0.47,318,131,39,38,94,464,20,-1,PF
Alize Johnson,23,0.436,61,9,5,0,12,41,25,4,PF
Anthony Gill,44,0.633,85,27,5,11,18,180,29,8,PF
Bojan Bogdanovi?,69,0.552,296,120,34,1,118,1248,32,11,PF
Bol Bol,14,0.574,20,5,1,2,4,33,22,1,PF
Brandon Clarke,64,0.65,342,86,39,68,34,666,25,4,PF
Cameron Johnson,66,0.596,273,99,57,16,47,822,25,4,PF
Carmelo Anthony,69,0.544,288,68,47,52,59,919,37,16,PF
Chris Silva,10,0.533,36,7,0,1,8,26,25,4,PF
Chuma Okeke,70,0.478,347,118,97,42,57,605,23,2,PF
D.J. Wilson,4,0.733,16,5,5,1,2,30,25,4,PF
D?vis Bert?ns,56,0.5,117,31,17,12,19,311,29,8,PF
Danilo Gallinari,66,0.528,308,101,28,12,38,771,33,12,PF
Darius Bazley,69,0.484,436,97,58,70,90,745,21,0,PF
Day'Ron Sharpe,32,0.584,160,17,10,15,30,198,20,-1,PF
Dean Wade,51,0.574,150,52,29,7,16,269,25,4,PF
DeMar DeRozan,76,0.521,392,374,68,24,181,2118,32,11,PF
Derrick Jones Jr.,51,0.59,169,30,25,33,30,286,24,3,PF
Devontae Cacok,15,0.677,42,6,8,7,3,46,25,4,PF
Domantas Sabonis,62,0.598,752,323,59,27,195,1171,25,4,PF
Dorian Finney-Smith,80,0.595,375,150,88,39,80,880,28,7,PF
Doug McDermott,51,0.578,115,64,13,6,43,578,30,9,PF
Draymond Green,46,0.556,336,320,61,50,139,346,31,10,PF
Emanuel Terry,3,0,15,2,1,0,5,0,25,4,PF
Eric Paschall,58,0.57,106,36,9,5,27,334,25,4,PF
Evan Mobley,69,0.522,570,174,56,115,133,1034,20,-1,PF
Freddie Gillespie,9,0.409,36,5,3,9,5,21,24,3,PF
Gabriel Deck,7,0.643,6,5,1,0,2,18,26,5,PF
Gary Clark,38,0.534,90,18,13,7,10,101,27,6,PF
Georges Niang,76,0.575,203,102,30,13,59,700,28,7,PF
Giannis Antetokounmpo,67,0.582,778,388,72,91,219,2002,27,6,PF
Grant Williams,77,0.597,274,78,38,57,62,602,23,2,PF
Harrison Barnes,77,0.554,432,186,53,14,118,1265,29,8,PF
Herbert Jones,78,0.525,296,167,130,60,100,742,23,2,PF
Isaiah Roby,45,0.582,217,71,36,34,43,454,23,2,PF
Isaiah Todd,12,0.346,12,4,4,2,4,20,20,-1,PF
Ish Wainright,45,0.486,54,15,20,6,13,108,27,6,PF
Jabari Parker,12,0.579,28,6,4,1,8,53,26,5,PF
Jaden McDaniels,70,0.532,293,79,52,54,75,647,21,0,PF
Jae Crowder,67,0.516,354,124,95,30,55,632,31,10,PF
Jae'Sean Tate,78,0.541,420,222,72,41,139,919,26,5,PF
Jalen Johnson,22,0.573,26,3,3,2,9,52,20,-1,PF
Jalen Smith,51,0.56,307,24,15,41,42,470,21,0,PF
James Johnson,62,0.507,215,130,30,34,48,340,34,13,PF
Jamorko Pickett,13,0.49,32,7,0,7,5,50,24,3,PF
